item,item_description,APPETIZERS
Papadam (4 pieces)  ,Sundried & Fried lentil crackers served w/ coconut chutney,APPETIZERS
Samosa (2 pieces)  ,Crisp turnovers filled w/ spiced potato & green peas; served w/ mint chutney,APPETIZERS
Aloo Tikki (2 pieces) ,Pan fried potato patties made w/ signature spices;  served w/ mint chutney & chana chat,APPETIZERS
Vegetable Pakoda,Deep fried fritters made of mixed vegetables dipped in a chick pea batter & served w/mint chutney,APPETIZERS
Paneer Pakoda,Deep fried fritters made w/ paneer (cottage cheese) & chick pea batter; served w/mint chutney,APPETIZERS
Vada (2 pieces) ,Deep fried white lentil donut served w/ coconut chutney,APPETIZERS
Sambar or Rasam Vada (2 pieces)  , Vada dipped in sambar or rasam soup ,APPETIZERS
Dhahi Vada (2 pieces) ,Vada dipped in spicy & sweet yogurt,APPETIZERS
Sambar/Rasam Soup (Spicy),A traditional South Indian special lentil & vegetable hot soup/tamarind soup with signature spices,APPETIZERS
Vegi Roti Pocket ,2 parota wrapped w/potato masala,APPETIZERS
Paneer Roti Pocket ,2 parota wrapped w/potato & paneer  ,APPETIZERS
Tilapia Fish Fry,Tilapia fillet marinated w/ signature spices & pan fried ,APPETIZERS
Rainbow Trout (Bone-In ) Fish Fry,Rainbow Trout WHOLE FISH marinated w/ signature spices & pan fried,APPETIZERS
Omelette/ Fried Egg/ Scrambled Eggs,Pan fried crepe with eggs/ half fried eggs/scrambled eggs,APPETIZERS
Chicken Roti Pocket,(2 parota filled w/ chicken masala,APPETIZERS
Chicken Pakoda,Deep fried chicken fritters; served w/mint chutney,APPETIZERS
,,
,,
,,
,,
,,
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
