item,item_description,APPETIZERS
Plain Dosa ,Dosa prepared w/ rice & white lentil fermented batter & served w/ sambar soup & chutney,VEGETARIAN DOSAS
Podi Dosa   ,topped w/ signature chili powder,VEGETARIAN DOSAS
Set Dosa ,Soft small dosa served in a set of 3 dosa with chutney & sambar,VEGETARIAN DOSAS
Butter (Ghee) Plain Dosa  ,Plain dosa topped with butter & served w/ sambar  & chutney,VEGETARIAN DOSAS
Cheese Plain Dosa  ,Plain dosa topped with Mexican Style 4 cheeses  & served w/ sambar  & chutney,VEGETARIAN DOSAS
Paneer Plain Dosa  ,Plain dosa topped with grated paneer (Indian Cottage Cheese)  & served w/ sambar  & chutney,VEGETARIAN DOSAS
Paneer Masala Dosa  ,"Paneer Dosa wrapped w/ lightly spiced potato & onion masala, served w/ sambar & chutney",VEGETARIAN DOSAS
Masala Dosa,"Dosa wrapped w/ lightly spiced potato & onion masala, served w/ sambar & chutney",VEGETARIAN DOSAS
Butter (ghee) Masala Dosa ,Masala Dosa topped with butter; served w/ sambar & chutney ,VEGETARIAN DOSAS
Mysore Masala Dosa (Signature Spicy Dosa),Masala dosa topped with signature spicy sauces (Mysore style); served w/ sambar & chutney ,VEGETARIAN DOSAS
Adai Dosa,"Dosa made with 4 kinds of lentil batter & vegetables, served with sambar & chutneys",VEGETARIAN DOSAS
Paneer Adai Dosa ,Adai dosa topped w/paneer cheese,VEGETARIAN DOSAS
Othappam (Vegetable or Onion or Plain),"Thick dosa topped w/ onion, tomato, cilantro & served w/ sambar & chutneys",VEGETARIAN DOSAS
Paneer Othappam ,topped w/ paneer,VEGETARIAN DOSAS
Variety Othappam ,"made w/ 4 toppings such as paneer, onion, capsicum, tomato, milagai podi, & green chili; served w/ sambar & chutney",VEGETARIAN DOSAS
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,, 
 ,, 
 ,, 
 ,, 
 ,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
,, 
