item,item_description,APPETIZERS
Gulab Jamun, ,DESSERTS & BEVERAGES
Rasa Gulla, ,DESSERTS & BEVERAGES
Rice Pudding, ,DESSERTS & BEVERAGES
Mango Custard, ,DESSERTS & BEVERAGES
Mango or Blue Berry, ,DESSERTS & BEVERAGES
Straberry Lassi, ,DESSERTS & BEVERAGES
Mango Juice, ,DESSERTS & BEVERAGES
Sweet or Salty or Spicy Lassi, ,DESSERTS & BEVERAGES
Cold Coffee, ,DESSERTS & BEVERAGES
Masala Milk with Nuts (HOT), ,DESSERTS & BEVERAGES
Mexican Coke (Bottle), ,DESSERTS & BEVERAGES
Coconut Juice with Pulp, ,DESSERTS & BEVERAGES
Soda, ,DESSERTS & BEVERAGES
Masala Tea or Bru Coffee (Hot), ,DESSERTS & BEVERAGES
